,BILL_MONTH,DIVISION,SUB_DIVISION,Billing for Jan 23,METER_STATUS,BILL_STATUS,REALIZATION_PAYMENT,TOTAL_CURRENT_BILL,TOTAL_CURRENT_BILL_AFTHLKADJ,TOTAL_BILLDED_ARREAR_AMT_DF,TOTAL_BILLDED_ARR_AMT_MEPDCL,tot_bill
34180,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34183,Jan-23,TURA,PHULBARI,133.54,OK,ACT,380,134.79,134.79,243.26,0,
34185,Jan-23,TURA,PHULBARI,123.54,OK,ACT,,198.54,124.54,1104.5,0,
34190,Jan-23,TURA,PHULBARI,121.52,OK,ACT,250,122.62,122.62,123.44,0,
34197,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,2557.32,0,
34199,Jan-23,TURA,PHULBARI,149.5,OK,ACT,151,151,151,0,0,
34210,Jan-23,TURA,PHULBARI,120.3,OK,ACT,,121.4,121.4,0,0,
34212,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,3447.2,0,
34213,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1759.56,0,
34214,Jan-23,TURA,PHULBARI,152.14,OK,ACT,,153.64,153.64,267.89,0,
34215,Jan-23,TURA,PHULBARI,159.77,OK,ACT,,161.27,161.27,1071.54,0,
34219,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34220,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,3008.5,0,
34223,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,55807.95,0,
34225,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34228,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34230,Jan-23,TURA,PHULBARI,180.11,OK,ACT,,181.21,181.21,6040.63,0,
34233,Jan-23,TURA,PHULBARI,212.01,OK,ACT,,213.31,213.31,7968.27,0,
34234,Jan-23,TURA,PHULBARI,139.93,OK,ACT,,141.28,141.28,139.03,0,
34235,Jan-23,TURA,PHULBARI,149.5,OK,ACT,,151,151,0,0,
34236,Jan-23,TURA,PHULBARI,132.78,OK,ACT,289,134.03,134.03,154.88,0,
34237,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34238,Jan-23,TURA,PHULBARI,134.83,OK,ACT,,135.48,135.48,745.11,0,
34239,Jan-23,TURA,PHULBARI,149.5,OK,ACT,150,151,151,0,0,
34242,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34243,Jan-23,TURA,PHULBARI,144.71,OK,ACT,,145.96,145.96,1412.61,0,
34245,Jan-23,TURA,PHULBARI,120.3,OK,ACT,120,121.4,121.4,0,0,
34247,Jan-23,TURA,PHULBARI,115.17,OK,ACT,,190.17,116.17,218.72,0,
34248,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34261,Jan-23,TURA,PHULBARI,115.18,OK,ACT,,193.83,116.13,598.21,0,
34263,Jan-23,TURA,PHULBARI,166.67,OK,ACT,,264.32,168.12,2286.59,0,
34268,Jan-23,TURA,PHULBARI,71.41,OK,ACT,,71.41,71.41,3369.47,0,
34276,Jan-23,TURA,PHULBARI,131.25,OK,ACT,,132.5,132.5,0,0,
34280,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34283,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,2610.19,0,
34285,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34286,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1993.9,0,
34290,Jan-23,TURA,PHULBARI,125.03,OK,ACT,250,125.63,125.63,124.62,0,
34293,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34294,Jan-23,TURA,PHULBARI,113.01,OK,ACT,110,114.01,114.01,1.21,0,
34297,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34301,Jan-23,TURA,PHULBARI,149.5,OK,ACT,150,151,151,0,0,
34303,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34305,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,576.07,0,
34307,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34310,Jan-23,TURA,PHULBARI,151,OK,ACT,300,152.5,152.5,151.44,0,
34311,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34312,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34314,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34317,Jan-23,TURA,PHULBARI,140.49,OK,ACT,500,140.99,140.99,2607.85,0,
34318,Jan-23,TURA,PHULBARI,176.38,OK,ACT,,178.13,178.13,651.99,0,
34319,Jan-23,TURA,PHULBARI,113.96,OK,ACT,,188.96,114.96,95.51,0,
34321,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1251.2,0,
34324,Jan-23,TURA,PHULBARI,256.5,OK,ACT,,257.76,257.76,0,0,
34325,Jan-23,TURA,PHULBARI,110.67,OK,ACT,230,112.17,112.17,118.69,0,
34328,Jan-23,TURA,PHULBARI,109.5,OK,ACT,111,111,111,0,0,
34331,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34332,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34333,Jan-23,TURA,PHULBARI,121.8,OK,ACT,,123.3,123.3,1230.12,0,
34339,Jan-23,TURA,PHULBARI,109.64,OK,ACT,,111.14,111.14,14.13,0,
34340,Jan-23,TURA,PHULBARI,171.04,OK,ACT,180,173.29,173.29,3.97,0,
34348,Jan-23,TURA,PHULBARI,171,OK,ACT,204,173.25,173.25,0.01,0,
34356,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,2266.53,0,
34358,Jan-23,TURA,PHULBARI,172.65,OK,ACT,,174.9,174.9,165.22,0,
34360,Jan-23,TURA,PHULBARI,171,OK,ACT,170,173.25,173.25,0,0,
34361,Jan-23,TURA,PHULBARI,152.68,OK,ACT,380,154.68,154.68,221.02,0,
34367,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34369,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,18120.87,0,
34371,Jan-23,TURA,PHULBARI,265,OK,ACT,260,267.5,267.5,0,0,
34372,Jan-23,TURA,PHULBARI,142,OK,ACT,143,143,143,0,0,
34377,Jan-23,TURA,PHULBARI,174.2,OK,ACT,500,176.45,176.45,320.42,0,
34381,Jan-23,TURA,PHULBARI,150.5,OK,ACT,160,152.5,152.5,0,0,
34383,Jan-23,TURA,PHULBARI,152,OK,ACT,310,154,154,150.02,0,
34386,Jan-23,TURA,PHULBARI,150.5,OK,ACT,150,152.5,152.5,0,0,
34391,Jan-23,TURA,PHULBARI,109.5,OK,ACT,,111,111,0,0,
34394,Jan-23,TURA,PHULBARI,150.5,OK,ACT,150,152.5,152.5,0,0,
34400,Jan-23,TURA,PHULBARI,110.91,OK,ACT,,112.41,112.41,143.3,0,
34406,Jan-23,TURA,PHULBARI,58.4,OK,ACT,,59.2,59.2,0,0,
34407,Jan-23,TURA,PHULBARI,124.19,OK,ACT,,125.84,125.84,242.89,0,
34408,Jan-23,TURA,PHULBARI,146.97,OK,ACT,,148.82,148.82,1233.19,0,
34409,Jan-23,TURA,PHULBARI,128.27,OK,ACT,,129.97,129.97,417.49,0,
34411,Jan-23,TURA,PHULBARI,150.5,OK,ACT,150,152.5,152.5,0,0,
34415,Jan-23,TURA,PHULBARI,130.07,OK,ACT,150,131.82,131.82,6.89,0,
34416,Jan-23,TURA,PHULBARI,153.68,OK,ACT,3000,155.38,155.38,2806,0,
34418,Jan-23,TURA,PHULBARI,125.9,OK,ACT,130,263.5,127.6,0,0,
34420,Jan-23,TURA,PHULBARI,132.59,OK,ACT,400,266.09,134.34,259.2,0,
34421,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,5948.3,0,
34424,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34425,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34428,Jan-23,TURA,PHULBARI,132.77,OK,ACT,,133.77,133.77,6240.14,0,
34432,Jan-23,TURA,PHULBARI,132.39,OK,ACT,,265.89,134.14,242.25,0,
34435,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34436,Jan-23,TURA,PHULBARI,121.8,OK,ACT,150,263.5,123.45,0,0,
34437,Jan-23,TURA,PHULBARI,604.9,OK,ACT,,609.35,609.35,0,0,
34438,Jan-23,TURA,PHULBARI,134.1,OK,ACT,140,267.65,135.9,0,0,
34440,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34444,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,110.99,0,
34445,Jan-23,TURA,PHULBARI,121.8,OK,ACT,120,123.45,123.45,0,0,
34446,Jan-23,TURA,PHULBARI,130.06,OK,ACT,140,267.71,131.81,5.79,0,
34452,Jan-23,TURA,PHULBARI,-962.68,OK,ACT,,160.02,-975.98,3154,0,
34461,Jan-23,TURA,PHULBARI,177.44,OK,ACT,,179.04,179.04,2115.59,0,
